ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_pub_m,dist_hosp_priv_m,pub_caminando_min,pub_auto_min,priv_caminando_min,hosp_mas_cercano,penaliza_publico_m
1180,2051,488079.082592488,2139960.035291123,246.0,-99.11350485533865,19.35362584472127,935.8023711155054,1299.5643300968661,12.477364948206738,2.807407113346516,17.327524401291548,Publico,0.0
1195,3664,488536.9208959465,2139802.7809219486,330.0,-99.10914461487114,19.352207350541683,643.0018171228355,898.4575766533509,8.573357561637806,1.9290054513685067,11.979434355378011,Publico,0.0
1208,991,488946.1944131797,2139921.649675611,252.0,-99.10524845002968,19.353283899070185,513.7114637973883,1132.3820366473974,6.849486183965178,1.5411343913921651,15.098427155298632,Publico,0.0
1227,5183,489999.5258881344,2140108.581056727,234.0,-99.09522017980764,19.35497877744709,1384.0220041888,2214.738708094571,18.453626722517335,4.152066012566401,29.529849441260946,Publico,0.0
1246,4327,492293.7078664351,2139832.1371624046,488.0,-99.0733748716188,19.352490572392107,520.4546809974199,1275.3896702813515,6.9393957466322655,1.56136404299226,17.005195603751353,Publico,0.0
1250,3051,492685.21441880846,2139895.448970116,122.0,-99.06964741683107,19.35306420560244,942.3712586677966,1230.7710239357768,12.564950115570621,2.82711377600339,16.41028031914369,Publico,0.0
1265,3915,493173.2117757339,2139897.7117594774,173.0,-99.06500098135297,19.35308637247318,1082.4878585582128,1365.3216462314538,14.433171447442838,3.2474635756746384,18.204288616419383,Publico,0.0
127A,2174,493815.42798790656,2139535.019673017,325.0,-99.05888497276106,19.34981068180639,1322.074478071688,1612.6768932157433,17.627659707622506,3.966223434215064,21.50235857620991,Publico,0.0
1284,1379,494258.7888151467,2139739.890872316,86.0,-99.05466423327368,19.351663487344503,871.0187371229704,2246.818726888081,11.613583161639605,2.613056211368911,29.957583025174415,Publico,0.0
1299,3461,494472.07394815766,2139226.9801339144,195.0,-99.05263197950372,19.347028737454,1540.1514835090618,1975.096572802427,20.535353113454157,4.620454450527186,26.334620970699028,Publico,0.0
1301,4045,494675.4086972935,2139218.340689613,333.0,-99.05069598391272,19.3469512087888,1601.6743294747446,2060.0115016012837,21.355657726329927,4.805022988424234,27.46682002135045,Publico,0.0
1316,3355,495390.30039818346,2139582.409964091,137.0,-99.0438903075156,19.350243193426973,1731.2379460543912,2022.9772089848286,23.083172614058547,5.193713838163173,26.973029453131048,Publico,0.0
1335,0,499848.3163552242,2140415.7607482546,27.0,-99.0014442910965,19.357779747103372,190.99132342658464,1338.481737417106,2.5465509790211285,0.5729739702797539,17.84642316556141,Publico,0.0
134A,4839,500425.4447946384,2140273.120408819,309.0,-98.99594906028602,19.35649061930618,632.5062747774708,1193.3270315739326,8.433416997032944,1.8975188243324126,15.911027087652434,Publico,0.0
1354,5489,487917.07288659207,2139369.6083921683,284.0,-99.1150436860176,19.348288998730805,1568.0995296618541,965.1375261511821,20.90799372882472,4.704298588985563,12.868500348682428,Privado,602.962003510672
